,Date,Open,High,Low,Close,Adj Close,Volume,Price Change,Percent Change,Tweet,text,Tweet URL,Positive,Neutral,Negative,Compound,TESLA
0,2018-01-03,64.199997,65.050003,63.110001,63.450001,63.450001,22607500,0.628006,1.0,2992,"Come work at the biggest & most advanced factory on Earth! Located by a river near the beautiful Sierra Nevada mountains with wild horses roaming free.
Tesla
@Tesla
 · Jan 2, 2018
Join our Gigafactory team https://tesla.com/careers/gigafactory…
3,115
7,956
51.6K",https://twitter.com/elonmusk/status/948428274467618816,0.25,0.75,0.0,0.8997,1
1,2018-01-05,63.324001,63.448002,62.400002,63.316002,63.316002,22956000,-0.261997,0.0,2994,"Falcon Heavy goes vertical
0:19
2M views
2,025
15.6K
83.1K",https://twitter.com/elonmusk/status/949075475036487680,0.0,1.0,0.0,0.0,0
2,2018-01-08,63.200001,67.403999,63.099998,67.281998,67.281998,49297000,3.955997,6.0,2996,"Long exposure of rocket ascent, reentry from space and landing burn. (Credit 
@johnkrausphotos
) https://instagram.com/p/BdrZtc5AhB3/
732
3,110
19.5K",https://twitter.com/elonmusk/status/950416244997488640,0.133,0.867,0.0,0.3818,0
3,2018-01-09,67.031998,67.760002,65.480003,66.737999,66.737999,35733000,0.356003,1.0,2998,"Replying to 
@PPathole
 @Tesla
 and 2 others
Fixed in next release
146
209
7,696",https://twitter.com/elonmusk/status/950600363630931968,0.0,1.0,0.0,0.0,1
4,2018-01-12,67.725998,68.082001,66.734001,67.244003,67.244003,24125500,-0.879997,-1.0,3006,"Replying to 
@ID_AA_Carmack
 and 
@DanielleFong
Actually, you can upgrade the battery pack for a huge improvement in range and some improvement in performance. There are other items you can upgrade too (seats, infotainment, etc), but I recommend keeping those parts original.
53
46
493",https://twitter.com/elonmusk/status/951893894605586432,0.233,0.767,0.0,0.8705,0
5,2018-01-18,69.134003,70.459999,68.748001,68.914001,68.914001,28429000,0.659996,1.0,3008,"Replying to 
@sallyshin
Check http://boringcompany.com/hat for updates
112
59
1,079",https://twitter.com/elonmusk/status/954074142835294208,0.0,1.0,0.0,0.0,0
6,2018-01-24,70.916,70.949997,68.704002,69.178001,69.178001,26437500,-1.150001,-2.0,3010,"Falcon Heavy hold-down firing this morning was good. Generated quite a thunderhead of steam. Launching in a week or so.
2,056
13.5K
77.8K",https://twitter.com/elonmusk/status/956233892637286400,0.11,0.798,0.091,0.128,0
7,2018-01-29,67.970001,70.169998,67.655998,69.905998,69.905998,23735500,1.369995,2.0,3014,"But wait, there’s more: the flamethrower is sentient, its safe word is “cryptocurrency” and it comes with a free blockchain
2,454
16.6K
102.2K",https://twitter.com/elonmusk/status/957787361630236672,0.283,0.717,0.0,0.8519,0
8,2018-01-30,69.028,69.653999,68.433998,69.164001,69.164001,23588500,-0.515999,-1.0,3051,"15k
646
804
16.4K",https://twitter.com/elonmusk/status/958371267203145729,0.0,1.0,0.0,0.0,0
9,2018-01-31,69.501999,71.237999,69.038002,70.862,70.862,31070500,1.584,2.0,3038,"This rocket was meant to test very high retrothrust landing in water so it didn’t hurt the droneship, but amazingly it has survived. We will try to tow it back to shore.
1,390
5,768
45K",https://twitter.com/elonmusk/status/958847818583584768,0.121,0.821,0.058,0.5444,0
10,2018-02-01,70.199997,71.931999,69.725998,69.849998,69.849998,20988500,0.694,1.0,3036,"Flamethrowers sold out
2,847
19.8K
134.5K",https://twitter.com/elonmusk/status/958931799391924224,0.0,1.0,0.0,0.0,0
11,2018-02-02,69.688004,70.389999,68.101997,68.75,68.75,18524000,-1.542,-2.0,3037,"Apparently, some customs agencies are saying they won’t allow shipment of anything called a “Flamethrower”. To solve this, we are renaming it “Not a Flamethrower”.
4,972
68.1K
335.1K",https://twitter.com/elonmusk/status/959555569953660928,0.125,0.875,0.0,0.4019,0
12,2018-02-05,67.594002,68.893997,66.599998,66.625999,66.625999,22320500,-1.496002,-2.0,3058,"Falcon Heavy sends a car to Mars
youtube.com
Falcon Heavy Animation
When Falcon Heavy lifts off, it will be the most powerful operational rocket in the world by a factor of two. With the ability to lift into orbit nearly 64 ...
2,202
16.4K
49.5K",https://twitter.com/elonmusk/status/960579820487954432,0.111,0.889,0.0,0.659,0
